oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	No post-election IV	0.253	3	3	XX-999900000000000	30006	NA	Complete	1	3. Not currently registered	"-6. Not asked, unit nonresponse (no Post-election interview)"	NA	0	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	No post-election IV	0.3802	1	1	999999999	10005	UNK	Complete	1	1. Registered at this address	"-6. Not asked, unit nonresponse (no Post-election interview)"	19959999	1	0	1	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Not voted	0.3382	1	1	999999999	30008	UNK	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	1	0	missing data	missing data	1	0	1	1	unregistered	NA	NA	NA	NA
0	Not voted	0.3941	3	3	XX-999900000000000	10019	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	0	0	1	1	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.3941	3	3	XX-999900000000000	10019	NA	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.3941	3	3	XX-999900000000000	10019	NA	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.4842	2	2	XXXXX999999999	30007	NA	Complete	1	3. Not currently registered	2. Registered at a different address	19959999	0	0	0	0	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	2	3252	NA	FALSE
0	"Not voted, unregistered"	0.2864	1	1	999999999	10013	UNK	Complete	1	3. Not currently registered	3. Not currently registered	20089999	0	0	1	0	1	1	match	match	0	0	1	1	active	NA	NA	NA	NA
0	Voted	0.1948	1	1	999999999	10017	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	19809999	1	0	1	0	1	1	match	match	0	0	1	1	inactive	NA	NA	NA	NA
0	Voted	0.2549	2	2	XXXXX999999999	10010	NA	Complete	1	1. Registered at this address	-1. Inapplicable	19959999	1	0	0	0	1	NA	match	match	NA	NA	NA	NA	NA	2	NA	NA	NA
0	Voted	0.4975	3	3	XX-999900000000000	10009	NA	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.5062	1	1	999999999	10020	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	0	0	1	0	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.547	1	1	999999999	10007	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	1	1	1	0	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.5661	1	1	999999999	30003	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20059999	1	1	1	0	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.6028	1	1	999999999	10011	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	19979999	1	1	1	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	"Not voted, unregistered"	0.205	NA	NA	NA	12172	NA	Complete	NA	3. Not currently registered	3. Not currently registered	NA	NA	NA	NA	NA	0	NA	missing data	missing data	NA	NA	NA	NA	NA	3	NA	NA	NA
0	"Not voted, unregistered"	0.3874	3	3	XX-999900000000000	12169	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.3874	3	3	XX-999900000000000	12169	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.748	3	3	XX-999900000000000	12173	NA	Complete	0	3. Not currently registered	3. Not currently registered	NA	0	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.1225	1	1	999999999	12159	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20079999	0	0	1	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.124	3	3	XX-999900000000000	12163	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	1	0	1	1	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.1877	1	1	999999999	12167	UNK	Complete	1	3. Not currently registered	1. Registered at this address	20129999	0	0	0	0	1	0	match	mismatch	1	0	1	1	active	NA	NA	NA	NA
0	Voted	0.2068	1	1	999999999	12156	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20129999	1	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.4549	2	2	XXXXX9999999	12171	NA	Complete	1	1. Registered at this address	-1. Inapplicable	19849999	1	0	0	1	1	NA	match	match	NA	NA	NA	NA	NA	2	NA	NA	NA
0	Voted	0.4549	2	2	XXXXX999999999	12171	NA	Complete	1	1. Registered at this address	-1. Inapplicable	20129999	0	0	0	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	2	NA	NA	NA
0	Voted	0.4933	1	1	999999999	12175	REP	Complete	1	1. Registered at this address	-1. Inapplicable	20049999	1	0	1	1	1	0	match	mismatch	0	0	1	1	active	NA	NA	NA	NA
0	Voted	0.5953	1	1	999999999	20384	UNK	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	1	0	match	match	1	0	1	1	unregistered	NA	NA	NA	NA
0	Voted	0.6162	1	1	999999999	12174	REP	Complete	1	1. Registered at this address	-1. Inapplicable	19969999	1	1	1	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.6416	1	1	999999999	12166	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20129999	1	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.6994	1	1	999999999	12155	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20129999	1	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	0.7164	1	1	999999999	12162	DEM	Complete	1	2. Registered at a different address	-1. Inapplicable	20029999	1	1	0	0	1	0	match	mismatch	1	0	1	1	active	NA	19027	NA	TRUE
0	Voted	2.0406	1	1	999999999	12170	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	19919999	1	1	1	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Not voted	1.6564	1	1	999999999	10036	UNK	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	0	0	0	0	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
